GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Casino,agent.exchange,ExchangeRate,26,0,0,0,7,0,4,0,4,0
Casino,agent.exchange,Currency,39,0,0,0,7,0,2,0,2,0
Casino,agent.exchange,CurrencyPair,56,0,10,0,12,0,8,0,3,0
Casino,agent.exchange,ExchangeServiceImpl,45,0,2,0,12,0,6,0,5,0
Casino,agent,Client,9,0,0,0,4,0,1,0,1,0
Casino,agent.global,AgentConstant,3,0,0,0,1,0,1,0,1,0
Casino,comp.comp,CompTransaction,116,0,12,0,18,0,15,0,9,0
Casino,casino.casino,ChipColor,88,0,0,0,12,0,8,0,8,0
Casino,casino.casino,Chip,32,0,0,0,13,0,6,0,6,0
Casino,casino.casino,Dealer,37,0,2,0,10,0,4,0,3,0
Casino,casino.casino,Casino,54,0,0,0,11,0,5,0,5,0
Casino,casino.calculator,RedChipCalculator,9,0,0,0,2,0,2,0,2,0
Casino,casino.calculator,ChipCalculatorFactory,47,0,2,0,9,0,3,0,2,0
Casino,casino.calculator,BlackChipCalculator,9,0,0,0,2,0,2,0,2,0
Casino,casino.calculator,GoldChipCalculator,9,0,0,0,2,0,2,0,2,0
Casino,agent.meal,Meal,16,0,0,0,6,0,3,0,3,0
Casino,agent.meal,MealType,48,0,0,0,8,0,3,0,3,0
Casino,agent.meal,MealPreparationServiceImpl,45,0,0,0,10,0,4,0,4,0
Casino,comp.analyzer,CompStatementProcessor,77,0,4,0,20,0,12,0,10,0
Casino,comp.analyzer,CompAnalyzer,78,0,0,0,12,0,3,0,3,0
Casino,casino.customer,Customer,26,0,2,0,8,0,4,0,3,0
Casino,casino.customer,CustomerBelonging,64,0,4,0,15,0,10,0,8,0
Casino,casino.global,CasinoConstant,3,0,0,0,1,0,1,0,1,0
Casino,casino.global,CasinoExceptionConstant,3,0,0,0,1,0,1,0,1,0
Casino,agent.exception,AgentExceptionType,82,0,0,0,11,0,3,0,3,0
Casino,agent.exception,AgentExceptionMessages,18,0,0,0,5,0,3,0,3,0
Casino,agent.exception,AgentException,11,0,0,0,4,0,2,0,2,0
Casino,agent.agent,AgentGroup,22,0,0,0,5,0,4,0,4,0
Casino,agent.agent,AgentServiceImpl,15,0,0,0,5,0,3,0,3,0
Casino,agent.agent,Agent,18,0,0,0,7,0,2,0,2,0
Casino,agent.reservation,ReservationServiceImpl,48,0,6,0,13,0,7,0,4,0
Casino,agent.reservation,Reservation,37,0,4,0,10,0,6,0,4,0
Casino,comp.parser,CompStatementCSVParser,40,0,0,0,10,0,4,0,4,0
